,player,team,name,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value,position_encoded,winger
0,/david-de-gea/profil/spieler/59377,Manchester United,David de Gea,Goalkeeper,189.0,32.0,104,0.0,0.0,0.0095846645367412,0.0,0.0,1.2172523961661343,0.3354632587859425,9390,42,5,13,15000000.0,70000000.0,1,0
1,/jack-butland/profil/spieler/128899,Manchester United,Jack Butland,Goalkeeper,196.0,30.0,15,0.0,0.0,0.0690184049079754,0.0,0.0,1.2423312883435582,0.2070552147239263,1304,510,58,1,1500000.0,22000000.0,1,0
2,/tom-heaton/profil/spieler/34130,Manchester United,Tom Heaton,Goalkeeper,188.0,37.0,4,0.0,0.0,0.0,0.0,0.0,0.6164383561643836,0.9246575342465754,292,697,84,4,600000.0,6000000.0,1,0
3,/lisandro-martinez/profil/spieler/480762,Manchester United,Lisandro Martínez,Defender Centre-Back,175.0,25.0,82,0.0280898876404494,0.0561797752808988,0.2247191011235955,0.0,0.0,0.0,0.0,6408,175,22,9,50000000.0,50000000.0,2,0
4,/raphael-varane/profil/spieler/164770,Manchester United,Raphaël Varane,Defender Centre-Back,191.0,30.0,63,0.0178890876565295,0.0178890876565295,0.0536672629695885,0.0,0.0,0.0,0.0,5031,238,51,21,40000000.0,80000000.0,2,0
5,/harry-maguire/profil/spieler/177907,Manchester United,Harry Maguire,Defender Centre-Back,194.0,30.0,68,0.0377992440151197,0.0,0.3023939521209576,0.0188996220075598,0.0,0.0,0.0,4762,148,27,1,25000000.0,70000000.0,2,0
6,/victor-lindelof/profil/spieler/184573,Manchester United,Victor Lindelöf,Defender Centre-Back,187.0,28.0,70,0.0,0.0329007494059586,0.1151526229208554,0.0,0.0,0.0,0.0,5471,95,19,10,15000000.0,35000000.0,2,0
7,/phil-jones/profil/spieler/117996,Manchester United,Phil Jones,Defender Centre-Back,185.0,31.0,8,0.0,0.0,0.2163461538461538,0.0,0.0,0.0,0.0,416,932,169,7,2000000.0,20000000.0,2,0
8,/teden-mengi/profil/spieler/548470,Manchester United,Teden Mengi,Defender Centre-Back,186.0,21.0,34,0.0,0.0,0.1305293691080493,0.0,0.0,0.0,0.0,2758,47,13,0,2000000.0,2000000.0,2,0
9,/luke-shaw/profil/spieler/183288,Manchester United,Luke Shaw,Defender Left-Back,178.0,27.0,74,0.0153741031773146,0.1691151349504612,0.353604373078237,0.0,0.0,0.0,0.0,5854,443,70,4,35000000.0,42000000.0,2,1
10,/tyrell-malacia/profil/spieler/339340,Manchester United,Tyrell Malacia,Defender Left-Back,169.0,23.0,89,0.0126191811553561,0.0630959057767807,0.2271452607964105,0.0,0.0,0.0,0.0,7132,182,15,3,22000000.0,22000000.0,2,1
11,/brandon-williams/profil/spieler/507700,Manchester United,Brandon Williams,Defender Left-Back,180.0,22.0,34,0.0,0.0335070737155621,0.3350707371556217,0.0,0.0,0.0,0.0,2686,175,28,1,10000000.0,12000000.0,2,1
12,/diogo-dalot/profil/spieler/357147,Manchester United,Diogo Dalot,Defender Right-Back,183.0,24.0,72,0.0322927879440258,0.0484391819160387,0.2260495156081808,0.0,0.0,0.0,0.0,5574,328,49,3,35000000.0,35000000.0,2,1
13,/aaron-wan-bissaka/profil/spieler/477758,Manchester United,Aaron Wan-Bissaka,Defender Right-Back,183.0,25.0,60,0.0,0.0188166422747229,0.0940832113736148,0.0,0.0188166422747229,0.0,0.0,4783,126,20,1,22000000.0,40000000.0,2,1
14,/casemiro/profil/spieler/16306,Manchester United,Casemiro,midfield-DefensiveMidfield,185.0,31.0,101,0.0908173562058526,0.1248738647830474,0.3292129162462159,0.0,0.0227043390514631,0.0,0.0,7928,174,31,23,50000000.0,80000000.0,3,0
15,/scott-mctominay/profil/spieler/315969,Manchester United,Scott McTominay,midfield-DefensiveMidfield,191.0,26.0,76,0.0960102410923832,0.0384040964369532,0.3840409643695328,0.0,0.0,0.0,0.0,4687,249,53,2,25000000.0,35000000.0,3,0
16,/christian-eriksen/profil/spieler/69633,Manchester United,Christian Eriksen,midfield-CentralMidfield,182.0,31.0,55,0.0672143390589992,0.3136669156086631,0.0896191187453323,0.0,0.0,0.0,0.0,4017,0,0,10,25000000.0,100000000.0,3,0
17,/marcel-sabitzer/profil/spieler/106987,Manchester United,Marcel Sabitzer,midfield-CentralMidfield,177.0,29.0,74,0.1440460947503201,0.086427656850192,0.2304737516005121,0.0,0.0,0.0,0.0,3124,280,35,8,20000000.0,42000000.0,3,0
18,/fred/profil/spieler/191614,Manchester United,Fred,midfield-CentralMidfield,169.0,30.0,92,0.1848428835489833,0.22181146025878,0.33271719038817,0.0,0.0,0.0,0.0,4869,45,10,11,20000000.0,50000000.0,3,0
19,/donny-van-de-beek/profil/spieler/288255,Manchester United,Donny van de Beek,midfield-CentralMidfield,184.0,26.0,31,0.1555747623163353,0.0,0.1555747623163353,0.0,0.0,0.0,0.0,1157,378,65,6,17000000.0,55000000.0,3,0
20,/zidane-iqbal/profil/spieler/686845,Manchester United,Zidane Iqbal,midfield-CentralMidfield,181.0,20.0,39,0.1291248206599713,0.0645624103299856,0.2259684361549498,0.0,0.0,0.0,0.0,2788,0,0,1,800000.0,800000.0,3,0
21,/kobbie-mainoo/profil/spieler/820374,Manchester United,Kobbie Mainoo,midfield-CentralMidfield,175.0,18.0,51,0.15375854214123,0.10250569476082,0.0,0.0,0.0,0.0,0.0,3512,0,0,1,800000.0,800000.0,3,0
22,/bruno-fernandes/profil/spieler/240306,Manchester United,Bruno Fernandes,midfield-AttackingMidfield,179.0,28.0,105,0.2393351800554016,0.289196675900277,0.2193905817174515,0.0,0.0,0.0,0.0,9025,14,2,11,75000000.0,90000000.0,3,0
23,/marcus-rashford/profil/spieler/258923,Manchester United,Marcus Rashford,Attack-LeftWinger,185.0,25.0,88,0.5287896592244419,0.1964075877119355,0.0755413798892059,0.0,0.0,0.0,0.0,5957,319,35,9,80000000.0,85000000.0,4,1
24,/jadon-sancho/profil/spieler/401173,Manchester United,Jadon Sancho,Attack-LeftWinger,180.0,23.0,79,0.2197802197802197,0.1098901098901098,0.0,0.0,0.0,0.0,0.0,4914,173,32,5,55000000.0,130000000.0,4,1
25,/anthony-elanga/profil/spieler/583189,Manchester United,Anthony Elanga,Attack-LeftWinger,178.0,21.0,63,0.2362204724409448,0.2066929133858267,0.0295275590551181,0.0,0.0295275590551181,0.0,0.0,3048,0,0,1,25000000.0,25000000.0,4,1
26,/alejandro-garnacho/profil/spieler/811779,Manchester United,Alejandro Garnacho,Attack-LeftWinger,180.0,18.0,72,0.525730180806676,0.3004172461752434,0.2253129346314325,0.0250347705146036,0.0,0.0,0.0,3595,50,11,2,25000000.0,25000000.0,4,1
27,/antony/profil/spieler/602105,Manchester United,Antony,Attack-RightWinger,172.0,23.0,80,0.3352522858110396,0.2285811039620724,0.182864883169658,0.0152387402641381,0.0,0.0,0.0,5906,196,22,5,70000000.0,75000000.0,4,1
28,/facundo-pellistri/profil/spieler/676318,Manchester United,Facundo Pellistri,Attack-RightWinger,174.0,21.0,34,0.0,0.087378640776699,0.2621359223300971,0.0,0.0,0.0,0.0,1030,90,15,1,3000000.0,7000000.0,4,1
29,/mason-greenwood/profil/spieler/532826,Manchester United,Mason Greenwood,Attack-RightWinger,181.0,21.0,24,0.3176470588235294,0.1058823529411764,0.1058823529411764,0.0,0.0,0.0,0.0,1700,135,12,0,0.0,50000000.0,4,1
30,/anthony-martial/profil/spieler/182877,Manchester United,Anthony Martial,Attack Centre-Forward,181.0,27.0,52,0.3990326481257557,0.1451027811366384,0.0362756952841596,0.0,0.0,0.0,0.0,2481,408,70,6,15000000.0,65000000.0,4,0
31,/wout-weghorst/profil/spieler/228645,Manchester United,Wout Weghorst,Attack Centre-Forward,197.0,30.0,93,0.2706359945872801,0.148849797023004,0.148849797023004,0.0,0.0,0.0,0.0,6651,46,7,4,14000000.0,30000000.0,4,0
32,/alphonse-areola/profil/spieler/120629,West Ham United,Alphonse Areola,Goalkeeper,195.0,30.0,41,0.0,0.0,0.0,0.0,0.0,0.8985024958402662,0.4492512479201331,3606,34,4,16,8000000.0,17500000.0,1,0
33,/lukasz-fabianski/profil/spieler/29692,West Ham United,Lukasz Fabianski,Goalkeeper,190.0,38.0,75,0.0,0.0,0.0407670240072474,0.0,0.0,1.3317227842367507,0.2717801600483164,6623,554,99,4,1000000.0,9000000.0,1,0
34,/nayef-aguerd/profil/spieler/361914,West Ham United,Nayef Aguerd,Defender Centre-Back,190.0,27.0,70,0.0869705266548558,0.0434852633274279,0.144950877758093,0.0,0.0144950877758093,0.0,0.0,6209,286,49,4,32000000.0,32000000.0,2,0
